experiment,scheme,tag_policy,workload,pipeline_depth,adversary,fec_t,seeds,goodput_mean,goodput_ci95,throughput_payload_B_per_cycle_mean,throughput_payload_B_per_cycle_ci95,p50_latency_cycles_mean,p50_latency_cycles_ci95,p95_latency_cycles_mean,p95_latency_cycles_ci95,p99_latency_cycles_mean,p99_latency_cycles_ci95,p999_latency_cycles_mean,p999_latency_cycles_ci95,max_latency_cycles_mean,max_latency_cycles_ci95,avg_repair_rounds_mean,avg_repair_rounds_ci95,avg_repair_frames_mean,avg_repair_frames_ci95,peak_repair_frames_mean,peak_repair_frames_ci95,security_drops_mean,security_drops_ci95,rejected_frames_mean,rejected_frames_ci95
adversarial,modeA,repair_authenticator,packet256,1,reorder,0,20,0.8312550783468935,0.0004551697822638989,4.897767741140662,0.006090903373515722,50.0,0.0,50.0,0.0,108.5,15.454330001312695,207.05,22.261082297422817,336.65,32.39614886469004,0.010307291666666666,0.0005854833868921939,0.010307291666666666,0.0005854833868921939,2.55,0.30079858622288136,0.0,0.0,300.0,0.0
adversarial,modeA,repair_authenticator,packet256,1,repeat_repair,0,20,0.05545927209705372,0.0,0.14390106801573918,0.0,1779.0,0.0,1779.0,0.0,1779.0,0.0,1779.0,0.0,1779.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,9600.0,0.0,0.0,0.0
adversarial,modeA,repair_authenticator,packet256,1,replay,0,20,0.8312550783468935,0.0004551697822638989,4.897767741140662,0.006090903373515722,50.0,0.0,50.0,0.0,108.5,15.454330001312695,207.05,22.261082297422817,336.65,32.39614886469004,0.010307291666666666,0.0005854833868921939,0.010307291666666666,0.0005854833868921939,2.55,0.30079858622288136,0.0,0.0,300.0,0.0
adversarial,modeA,repair_authenticator,packet256,1,tag_target,0,20,0.8562788480904414,0.00048298805433068937,5.005504015404608,0.006361843497435106,50.0,0.0,50.0,0.0,83.3,22.87240840194279,199.85,23.806357448113904,333.05,33.38864307073983,0.010307291666666666,0.0005854833868921939,0.010307291666666666,0.0005854833868921939,2.55,0.30079858622288136,300.0,0.0,0.0,0.0
adversarial,sr,repair_authenticator,packet256,1,final_frame,0,20,0.8862792249032679,0.00047863884347568235,7.029393812803944,0.003763680781273386,1234.0,0.0,1304.725,3.3809999999999993,1372.825,14.476210486609801,1465.225,34.408694356452834,1465.225,34.408694356452834,1.0163333333333333,0.00384769574850968,1.3288333333333333,0.017881437400521585,5.35,0.4090376382115516,0.0,0.0,0.0,0.0
adversarial,sr,repair_authenticator,packet256,1,none,0,20,0.9154588497667191,0.0005503703849314022,7.258777014636056,0.004325277285525624,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
adversarial,sr,repair_authenticator,packet256,1,one_per_epoch,0,20,0.8863035899605873,0.0005474110454977607,7.029585375851981,0.004304442907731818,1234.0,0.0,1301.275,3.3809999999999993,1368.85,16.003717272131365,1463.425,24.538064062744812,1463.425,24.538064062744812,1.0155,0.0030079858622288212,1.328,0.020531502310705444,5.35,0.4090376382115516,0.0,0.0,0.0,0.0
adversarial,sr,repair_authenticator,packet256,1,reorder,0,20,0.8149200592604069,0.00043611681081787325,6.467887634420249,0.0034340567199736163,1256.5,0.0,1404.775,3.3809999999999993,1466.425,10.358244748178038,1556.5,26.464297896560467,1556.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,1200.0,0.0
adversarial,sr,repair_authenticator,packet256,1,repeat_repair,0,20,0.5964313302845643,0.000201059071205649,4.743820129275195,0.001589889583137592,3027.5,0.0,3093.05,4.653927577298216,3136.175,7.399273260900268,3189.65,23.577858440315968,3189.65,23.577858440315968,16.0,0.0,16.329833333333333,0.016760830067792193,20.7,0.6834161866758252,300.0,0.0,0.0,0.0
adversarial,sr,repair_authenticator,packet256,1,replay,0,20,0.8880680346104847,0.0005179270880741995,7.043459495022434,0.004072469647162666,1153.0,0.0,1301.275,3.3809999999999993,1362.925,10.358244748178038,1453.0,26.464297896560467,1453.0,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,300.0,0.0
